who,amount
0xcdcbc6228bf11984e240687c59a4c01aadbe7ce3,113602419278006528000000000
0xc250a5937cb1fdeeceb82da0fbfb4e0ada3257b1,3087207251480576000000000
0xb62d0f26cee350c515191a53b6531cfc5ba323f9,145920000000000000000000
0x181429c49e12d2ae8d38606704797e450d52e2ba,2355200000000000000000000
0x73c47f0bd5ff1b60a302ed2926394411dcfacbef,3481600000000000000000000
0xafab48cd70e6bc151c177ec95473213911f161bb,638976000000000000000000
0x984cfc43f7081613afe6139ff1d533b7b5e0e025,247552000000000000000000000
0xfa46365cd8c1fcb64c50840eea25acfcad0791f1,1280000000000000000000000000
0x851d0b422a47d44650ee247f6cd6a6e37331d94c,140800000000000000000000
0x57b4c9dce17c88423f0f96a6fec291d44017fd57,256000000000000000000
0xa05c32ace8d81a7f16559b310b17f59be105f9dd,1136896000000000000000000
0x3e25247cff03f99a7d83b28f207112234fee73a6,11520000000000000000000000
0x0cd3f580ee47ecb18930c81bd8ab2b539b4ce3b2,2329600000000000000000000
0x83136f7e8c65dda9dc156c0bacb2e0fff82e56f9,54686720000000000000000000
0xeda7964994614469d6736dd2dad0f3c5212af1d2,2560000000000000000000
0x15f4e8fefc9444218bed052b5ce3ca9b4dd0718a,179200000000000000000000
0x0ec1daea7f40bce5c522c7458596abb3092ff9e2,2366720000000000000000000
0x4545bebf52d8434709462a44c6c331dca45462d9,19187200000000000000000000
0x6328e811a291b6424a0c858526d46fff7c46d647,2530541619200000000000000
0x310eb062f52120e18f2a096e7e9ec07c8116be25,64000000000000000000000
0x97de953cde13fd813ac6bf8e3ad8735cc18a74b7,979369984000000000000000000
0xc5f04d5d55065f3e34945a59ee0c7eb2656aa07c,51968000000000000000000000
0xf8264832b8e3f5bdb01be131b91f271208ca0865,69726401579895552000000000
0xd4e3c6723e0e6dc256b858871aa2a76cd1d92f52,7395328000000000000000000
0xe7f4dbab83e7bc844b3c196dbb32382d1a7e0142,7014400000000000000000000
0xc84485f8119723f18182699e73ac942c7456e3c4,5227939317440053248000000000
0xef67560dec3b262682912342dcd9b46f47071e67,1996800000000000000000000
0xbffadc0f1e9f0e91e792f9761c8799373c357013,197188239513144832000000000
0x31a0afe966205539269b1d4cf5e4cb580950aa9e,50995200021461248000000000
0xdb1715078635238589696cda678c300ac76f0598,115799040000000000000000000
0x93613b142517290a52b1843db54000c5f8d0acab,7024640000000000000000000
0x9534259d678b1c45a9fe790b147706bdc35bbc4a,46080000000000000000000000
0x09509947596530082844c4ca6e6f0c47fb7c05f8,512000000000000000000000
0x2a396aaceaca357071de41ba9821f74edef42664,6773760000000000000000000
0x87f0c169d8acc432acdb5e7d0907322c80ec6621,9932800000000000000000000
0xa5bff3ac57748a6cda3306d99417d8e5d5c76a5b,35584000000000000000000000
0x2c81cce3f18f25f77c2763c6940e53bbe3257415,179200000000000000000000
0x7f1ef5381b032bb0043eaf59d20c65052910dbae,125440000000000000000000
0x60db761b4f5444fa8455a5ddb66e5ba841f6e5ed,908800000000000000000000
0xe45fd7bef2736dad2d5620052ca37a9603376aea,2936012800000000000000000000
0xbfb7a0f74bfcba87079579fc060fc0afab67a8bf,775168000000000000000000
0x1d685424dd0807dfdfebd7f887b855a875e118f2,176896000000000000000000000
0x1c576f735399e48fc50aa3fddd541d2d89584ec0,1305600000000000000000000
0x73704220ca663d24cc9e7e3e5dc983d6f27b477a,42240000000000000000000000
0x6b76c980ef177f74ff7c515deee874f8550649ef,1126400000000000000000000
0xf9d2652bbf716b02bf392b0068b8d4d46290cf27,75776000000000000000000000
0x2d80e2a0e3ffdac600e29b04f321eeafa5dadbc7,1792000000000000000000000
0x1143b26acc769d50c56bc86f9e9986af390d1bbe,526336000000000000000000
0x8dbe22bbe59d1779e8966ce0ba47cd5debd46e54,128000000000000000000000
0xfe6fc01bf565fa5181df07f9a2113a1f2ff43949,2818048000000000000000000
0x5270130b2b7e99ab2ec0a8500b1869fe7ec9b794,279296000000000000000000000
0xdfe243bfc3df05b46b70726718d596c5a61f498e,5644134534135552000000000
0x462bac1a935d5053ee3a17ab2d73556a9930ce5a,332800000000000000000000
0x28523f9e8e5694523b6536d5b1123e322a3e554a,20480000000000000000000
0x471862fc58e7cf2346c2a2929899b0184d40e279,28160000000000000000000
0x02207e9d8a5d6ebfb7a9af66bb63fabed75064eb,2824192000000000000000000
0x14a2a2eb1977e82e2c8258c6c7ac850817b09b9e,38400000000000000000000
0xe89eeb80c94479a04f5a86c113e987b90d5b22c8,40089784320000000000000000
0x00cefa72151a53ed99c28080abad20d70b5092c7,3584000000000000000000000
0xd0358eeca4a708224f1594bbaabaf0e071d5132f,2978827264160000000000000
0x96497526150174f946baa57a22558e70e4235517,76800000000000000000000
0x56cad27474b20d72008952a03782d117db31fdd2,2560204800000000000000000
0x4443b2230a6ea9acfb35f0aa179ffba6255f3529,51200000000000000000000000
0xd164e1a50959dedff7c75725324a1c9d455e4606,51200000000000000000000
0x011e3d8a6146849c628207284f64d35dfa52de06,1332674560000000000000000000
0xcbb01fbfc80dc4e7242fa5bb25581b6f0b2a503e,1100800000000000000000000
0x18a428ce0c31584a21cf8cefdb8849d8013e1994,716800000000000000000000
0xd710b414f8de8dbbcabaa1fd4d44c1fd6aaf18a1,17920000000000000000000000
0x521b0deddd40ee4806eecd75c614fe6dac08ab16,79360000000000000000000
0xf3dd20ed69f9da8adf33307f361c4a7567d5dc72,2332068976852992000000000
0xeca0116c9dcef5c65e9c9f0d7172c43a9be681ca,87040000000000000000000000
0xd3fd621cb2764cd14b615dc084d971871ce1f9e5,2560000000000000000000000
0xc1c8f6ef43b39c279417e361969d535f2a20b92e,126711175190272000000000
0xca92755f758611bd0d688f3e84b8308aa7bc57fa,256000000000000000000000
0x1a8900f09aae124ac8621114f812a2ccb869da5f,268800000000000000000000
